Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
Total,,,,3476,107.9318,13,49792,1.44
5MiKeW8cLQI,POV: Hogwarts in Tokyo at 3AM #Shorts,"May 15, 2026",21,1006,1.694,4,80,2.5
cp4hEQLz6N4,POV: A Wizarding Library in Old Shanghai #Shorts,"May 20, 2026",21,322,0.4028,0,91,1.1
4QvTA_pGv88,POV: A Gym in Rivendell #Shorts,"May 16, 2026",21,173,0.1586,0,45,2.22
C-fhHzb4_CQ,POV: A Quiet Night by the Lake #Shorts,"May 16, 2026",21,166,0.1957,0,62,3.23
AqVv-sEqRMw,"Snowy Kyoto Wizarding Library | 1 Hour Calm Focus Music | Relax, Study, Sleep","May 17, 2026",3600,119,18.8008,2,5814,1.62
pg0MdvDuwMw,"Bioluminescent Ocean | 1 Hour Calm Focus Music | Relax, Study, Sleep","May 7, 2026",3713,112,13.6586,1,3036,2.83
mOLecwf8BKM,POV: A Fiesta at the Iron Throne #Shorts,"May 15, 2026",21,106,0.1164,0,53,1.89
KlO_2haMjuY,POV: Jabba Nail Salon #Shorts,"May 15, 2026",21,104,0.081,0,33,6.06
e7pinQJS5cQ,POV: Karaoke Night at Dragonstone #Shorts,"May 15, 2026",21,103,0.142,0,285,0.35
j1Xzb-aA6nw,"Mordor Coffee Shop | 1 Hour Calm Focus Music | Relax, Study, Sleep","May 10, 2026",3601,78,8.8978,1,3394,1.86
GG1y9MSiBUs,"Old Shanghai Wizarding Library | 1 Hour Calm Focus Music | Relax, Study, Sleep","May 20, 2026",3600,77,10.6658,0,5629,0.98
MnhXElshcUk,"Late-Night Gotham Diner | 1 Hour Calm Focus Music | Relax, Study, Sleep","May 26, 2026",3600,71,16.4181,0,4167,1.56
7OCEQsQXQjU,"Wizarding Library by the Pyramids | 1 Hour Calm Focus Music | Relax, Study, Sleep","May 25, 2026",3600,65,6.9811,0,3439,1.37
j6L8nc02R7E,POV: A Wizarding Library in Snowy Kyoto #Shorts,"May 17, 2026",21,63,0.0686,0,148,2.03
uex094f6Aug,POV: A Wizarding Library in Rainy London #Shorts,"May 19, 2026",21,62,0.0981,1,179,2.23
C6Dk8M2DAqQ,POV: A Wizarding Library in Las Vegas at Midnight #Shorts,"May 24, 2026",21,58,0.0702,0,74,4.05
pcdkX44hGoM,POV: A Wizarding Library on the Venice Canals #Shorts,"May 18, 2026",21,58,0.0465,0,51,0
2iuBwy83PvQ,POV: Lost in an Enchanted Forest #Shorts,"May 16, 2026",21,56,0.0608,0,42,0
v67VknHY01I,POV: A Café in Mordor #Shorts,"May 15, 2026",21,52,0.0242,0,36,2.78
Z3EydijfShM,POV: Ramen in the Shire #Shorts,"May 15, 2026",21,50,0.036,0,35,2.86
fAtyS82_V0A,"Enchanted Forest & Fireflies | 1 Hour Calm Focus Music | Relax, Study, Sleep","May 7, 2026",3637,49,4.1622,0,1814,1.93
